,date,value
0,2012-11-04,0
1,2012-11-05,0
2,2012-11-06,0
3,2012-11-07,0
4,2012-11-08,0
5,2012-11-09,0
6,2012-11-10,0
7,2012-11-11,0
8,2012-11-12,0
9,2012-11-13,0
10,2012-11-14,0
11,2012-11-15,0
12,2012-11-16,0
13,2012-11-17,0
14,2012-11-18,0
15,2012-11-19,0
16,2012-11-20,0
17,2012-11-21,0
18,2012-11-22,0
19,2012-11-23,0
20,2012-11-24,0
21,2012-11-25,0
22,2012-11-26,0
23,2012-11-27,0
24,2012-11-28,0
25,2012-11-29,0
26,2012-11-30,0
27,2012-12-01,0
28,2012-12-02,0
29,2012-12-03,0
30,2012-12-04,0
31,2012-12-05,0
32,2012-12-06,0
33,2012-12-07,0
34,2012-12-08,0
35,2012-12-09,0
36,2012-12-10,0
37,2012-12-11,0
38,2012-12-12,0
39,2012-12-13,0
40,2012-12-14,0
41,2012-12-15,0
42,2012-12-16,0
43,2012-12-17,0
44,2012-12-18,0
45,2012-12-19,0
46,2012-12-20,0
47,2012-12-21,0
48,2012-12-22,0
49,2012-12-23,0
50,2012-12-24,0
51,2012-12-25,0
52,2012-12-26,0
53,2012-12-27,0
54,2012-12-28,0
55,2012-12-29,0
56,2012-12-30,0
57,2012-12-31,0
58,2013-01-01,0
59,2013-01-02,0
60,2013-01-03,0
61,2013-01-04,0
62,2013-01-05,0
63,2013-01-06,0
64,2013-01-07,0
65,2013-01-08,0
66,2013-01-09,0
67,2013-01-10,0
68,2013-01-11,0
69,2013-01-12,0
70,2013-01-13,0
71,2013-01-14,0
72,2013-01-15,0
73,2013-01-16,0
74,2013-01-17,0
75,2013-01-18,0
76,2013-01-19,0
77,2013-01-20,0
78,2013-01-21,0
79,2013-01-22,0
80,2013-01-23,0
81,2013-01-24,0
82,2013-01-25,0
83,2013-01-26,0
84,2013-01-27,0
85,2013-01-28,0
86,2013-01-29,0
87,2013-01-30,0
88,2013-01-31,0
89,2013-02-01,0
90,2013-02-02,0
91,2013-02-03,0
92,2013-02-04,0
